"partido_1","votos_1","porcen_1","partido_2","votos_2","porcen_2","partido_3","votos_3","porcen_3","name_2_url","name_4_url"
"IULV-CA","1.199","67,02%","PSOE","331","18,50%","PP","222","12,40%","Sevilla","Marinaleda"
"PSOE","1.148","48,35%","IULV-CA","711","29,94%","PP","422","17,77%","Sevilla","Gilena"
"PSOE","289","53,02%","PP","162","29,72%","PA","36","6,60%","Sevilla","Lora de Estepa"
"PSOE","1.532","56,80%","PP","611","22,65%","IULV-CA","476","17,64%","Sevilla","Roda de Andalucía (La)"
"PSOE","1.294","49,94%","PP","772","29,79%","IULV-CA","457","17,63%","Sevilla","Saucejo (El)"
"PSOE","637","73,05%","IULV-CA","107","12,27%","PP","106","12,15%","Sevilla","Algámitas"
"PSOE","2.954","50,06%","PP","1.387","23,50%","IULV-CA","1.295","21,94%","Sevilla","Puebla de Cazalla (La)"
"PSOE","1.336","44,57%","IULV-CA","1.197","39,93%","PP","377","12,57%","Sevilla","Pedrera"
"PSOE","468","55,98%","PP","270","32,29%","IULV-CA","41","4,90%","Sevilla","Coripe"
"PSOE","829","50,33%","IULV-CA","594","36,06%","PP","139","8,43%","Sevilla","Martín de la Jara"
"PSOE","7.927","58,80%","PP","3.211","23,82%","IULV-CA","1.655","12,27%","Sevilla","Morón de la Frontera"
"PSOE","2.240","60,54%","PP","740","20,00%","IULV-CA","553","14,94%","Sevilla","Montellano"
"PSOE","1.260","53,09%","IULV-CA","714","30,08%","PP","328","13,82%","Sevilla","Corrales (Los)"
"PSOE","696","47,67%","PP","415","28,42%","IULV-CA","223","15,27%","Sevilla","Pruna"
"PSOE","526","60,39%","PP","255","29,27%","IULV-CA","60","6,88%","Sevilla","Villanueva de San Juan"
